City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
482,Omboue,GA,77.25,overcast clouds,-1.5746,9.2618,Hotel Olako
483,Maxixe,MZ,72.0,clear sky,-23.8597,35.3472,Oceano
484,Sao Joao Da Barra,BR,71.64,light rain,-21.6403,-41.0511,Pousada Porto De Canoas
486,Panama City,PA,79.18,few clouds,8.9936,-79.5197,Trump International Hotel & Tower Panama
487,Matara,LK,78.76,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
488,Dakar,SN,85.08,scattered clouds,14.6937,-17.4441,Novotel Dakar
489,Oropoli,HN,76.1,clear sky,13.8167,-86.8167,Aguas Termales
490,Ahipara,NZ,77.97,broken clouds,-35.1667,173.1667,Ahipara Holiday Park
492,Paita,PE,73.35,overcast clouds,-5.0892,-81.1144,Hotel Náutico de Paita
496,Huarmey,PE,71.44,overcast clouds,-10.0681,-78.1522,Hotel Miramar
505,Mayumba,GA,76.6,light rain,-3.432,10.6554,LIKWALE LODGE
510,Villa Carlos Paz,AR,70.05,overcast clouds,-31.4241,-64.4978,Monte Carlo vcp
514,Isangel,VU,86.11,broken clouds,-19.55,169.2667,Tanna Lodge
517,Nioro,GM,79.43,clear sky,13.35,-15.75,
521,Mindelo,CV,72.95,overcast clouds,16.8901,-24.9804,Hotel Gaudi
529,Sombrio,BR,73.94,scattered clouds,-29.1139,-49.6167,Hotel e Restaurante Sao Cristovao
531,Lakota,CI,70.65,scattered clouds,5.8528,-5.6883,Aziz bah divers
538,Caravelas,BR,74.86,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
542,Yurimaguas,PE,72.41,broken clouds,-5.9,-76.0833,Rio Huallaga Hotel & Business Center
545,Guanica,PR,77.05,clear sky,17.9716,-66.908,Copamarina Beach Resort & Spa
560,Saint-Georges,GD,77.4,clear sky,12.0564,-61.7485,Radisson Grenada Beach Resort
566,Natal,BR,80.82,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
567,San Cristobal,VE,71.78,broken clouds,7.7669,-72.225,Pirineos
569,Banjar,ID,82.26,overcast clouds,-8.19,114.9675,The Hamsa Resort
570,Kampot,KH,84.25,overcast clouds,10.6167,104.1833,Two Moons Hotel
572,Sampit,ID,81.01,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
577,Ca Mau,VN,87.58,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
578,Istmina,CO,78.6,overcast clouds,5.1605,-76.684,Hotel La Gran Estación Istmina
579,Ballina,AU,82.78,light rain,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
586,Buala,SB,82.8,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
590,Sao Jose Da Coroa Grande,BR,78.73,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
591,Yenagoa,NG,75.33,broken clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
593,Waw,SS,76.23,overcast clouds,7.7029,27.9953,Universal Gab Hotel
595,Labuhan,ID,81.3,overcast clouds,-6.8844,112.2051,DoubleFAG
599,Hervey Bay,AU,87.04,clear sky,-25.2986,152.8535,Shelly Bay Resort
601,Payo,ID,77.54,overcast clouds,-3.7508,103.6372,Mess keban agung
603,Boali,CF,73.27,clear sky,4.8005,18.1275,Auberge des Cocotiers Boali poste
606,Nha Trang,VN,82.4,overcast clouds,12.25,109.1833,Hanoi Golden Hotel
613,Tarakan,ID,80.1,overcast clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
614,Lat Yao,TH,87.28,broken clouds,15.751,99.7893,โรงแรมสอระ
618,Burnie,AU,72.95,clear sky,-41.0667,145.9167,Beachfront Voyager Motor Inn
619,Chilca,PE,73.08,overcast clouds,-12.5211,-76.7372,Playa Punta Yaya - Las Salinas
622,Sena Madureira,BR,72.14,broken clouds,-9.0656,-68.6569,Hotel Central
623,Soyo,AO,75.96,scattered clouds,-6.1349,12.3689,Hotel Mpampa
628,Lufilufi,WS,82.18,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
640,Padilla,CO,71.17,overcast clouds,3.2204,-76.3139,La Granadina
641,Santiago Del Estero,AR,86.97,overcast clouds,-27.7951,-64.2615,Apartamentos Castelli 90
643,Kimbe,PG,84.99,moderate rain,-5.5502,150.1429,Kimbe Bay Hotel
648,Puerto Leguizamo,CO,72.52,broken clouds,-0.1934,-74.7819,la casona de juancho
652,Guarapari,BR,76.89,overcast clouds,-20.6667,-40.4975,Hotel Porto do Sol
660,Kloulklubed,PW,84.7,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
661,Exu,BR,75.61,overcast clouds,-7.5119,-39.7242,Pousada Albuquerque
667,Kihei,US,82.42,few clouds,20.785,-156.4656,Maui Sunset
669,Jaguey Grande,CU,72.25,light rain,22.5269,-81.1286,Hostal lleana
671,Buritis,BR,70.32,overcast clouds,-15.6178,-46.4233,Hotel Rainha do Vale
674,Cabedelo,BR,81.27,few clouds,-6.9811,-34.8339,Hotel Pigalle
676,Adela,PH,88.34,broken clouds,12.4416,120.9729,De Kack's Private Resort
677,Gunjur,GM,75.27,clear sky,13.2019,-16.7339,Dalaba Eco-Lodge Gambia
679,Galesong,ID,80.62,moderate rain,-5.3166,119.3661,Sapriadi Appy
