City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
145,Qaanaaq,GL,2/6/2022 23:06,77.484,-69.3632,-12.91,58,31,7.7
146,Chengde,CN,2/6/2022 23:15,40.9725,117.9361,15.39,67,50,4.47
147,Vestmannaeyjar,IS,2/6/2022 23:15,63.4427,-20.2734,35.37,63,100,31.68
148,Angouleme,FR,2/6/2022 23:15,45.65,0.15,50.95,95,100,12.66
149,Benguela,AO,2/6/2022 23:15,-12.5763,13.4055,76.05,72,100,3.62
150,Salalah,OM,2/6/2022 23:11,17.0151,54.0924,77.09,25,0,14.97
151,Pavia,IT,2/6/2022 23:15,45.1845,9.1615,42.66,92,100,1.01
152,Pevek,RU,2/6/2022 23:11,69.7008,170.3133,-23.85,99,22,0.58
153,Puerto Ayora,EC,2/6/2022 23:07,-0.7393,-90.3518,76.55,88,38,5.01
154,Irbeyskoye,RU,2/6/2022 23:15,55.6428,95.4522,9.41,95,100,3.87
155,Sarangani,PH,2/6/2022 23:15,5.4033,125.4636,80.98,76,84,23.42
156,Pravdinsk,RU,2/6/2022 23:15,54.4429,21.0179,39.04,96,100,17.87
157,Severo-Kurilsk,RU,2/6/2022 23:07,50.6789,156.125,30.18,87,100,10.96
158,La Rioja,ES,2/6/2022 23:15,42.25,-2.5,36.05,67,45,4.99
159,Grindavik,IS,2/6/2022 23:11,63.8424,-22.4338,30.67,64,100,16.11
160,Lasa,IT,2/6/2022 23:15,46.6166,10.7002,41.88,73,100,5.5
161,Virden,US,2/6/2022 23:15,39.5009,-89.7679,37.11,70,30,6.58
162,Entre Rios,BR,2/6/2022 23:15,-11.9419,-38.0844,74.01,88,77,4.03
163,Dawlatabad,AF,2/6/2022 23:15,36.4141,64.9053,39.9,87,73,6.04
164,Palma Di Montechiaro,IT,2/6/2022 23:15,37.1926,13.765,47.62,88,35,10.2
165,Sinnamary,GF,2/6/2022 23:10,5.3833,-52.95,77.86,87,100,8.57
166,Adeje,ES,2/6/2022 23:15,28.1227,-16.726,65.1,51,0,1.01
167,Batemans Bay,AU,2/6/2022 23:15,-35.7167,150.1833,69.19,81,54,10.27
168,Wakkanai,JP,2/6/2022 23:15,45.4094,141.6739,24.98,85,100,20.09
169,North Bend,US,2/6/2022 23:15,43.4065,-124.2243,66.92,68,0,6.91
170,Owando,CG,2/6/2022 23:15,-0.4819,15.8999,71.83,35,58,2.8
171,Ponta Do Sol,PT,2/6/2022 23:10,32.6667,-17.1,63.23,68,11,10.85
172,Nacozari,MX,2/6/2022 23:15,25.3366,-108.2574,77.05,38,10,12.62
173,Kaitangata,NZ,2/6/2022 23:09,-46.2817,169.8464,57.92,73,2,5.73
174,Krasnoselkup,RU,2/6/2022 23:09,65.7,82.4667,-20.96,99,38,7.65
